Tier,State,Type,Firm,City,Decision-maker,Contact,Fit,Notes
WA-alert-new,WA,CPA,"FLS Tax & Accounting Service, PLLC",Kennewick,Frank Skaff,info@flstax.com,,"CPA & Enrolled Agent; tax preparation & planning, accounting/bookkeeping"
WA-alert-new,WA,CPA,Insight Accounting Solutions LLC,Richland,,clientoutreach@ias-cpa.com,,"CPA practice; tax preparation, planning, bookkeeping for businesses & nonprofits"
WA-alert-new,WA,CPA,"Precision Accounting Solutions - Shanie Rowley, CPA",Richland,Shanie Rowley,shanierowleycpa@gmail.com,,"Licensed CPA; tax preparation, small-business bookkeeping & payroll (est. 2015)"
WA-alert-new,WA,CPA,Evergreen Accounting,Leavenworth,Cindy,cindy@evergreenacc.com,,"Tax prep, bookkeeping & consulting; personal & business income tax"
WA-alert-new,WA,CPA,Bell & Bell PLLC,Sequim,,sequim@bellscpa.com,,"CPA firm doing bookkeeping, tax, and payroll for WA businesses; individual + business"
WA-alert-new,WA,CPA,Meyer & Company CPAs,Sequim,,info@meyer.cpa,,"CPA firm; federal/state/local tax prep & planning, bookkeeping for individuals + business"
WA-alert-new,WA,CPA,Swank CPA,Camas,Mindy Swank,mindy@swankcpa.com,,"Accounting, bookkeeping, payroll, tax prep, business consulting; 20+ yrs"
WA-alert-new,WA,CPA,Guardian Tax Service,Ridgefield,Heidi Bratlie,heidi@gtaxpro.com,,"All phases of tax prep & bookkeeping, Vancouver-area since 2007"
WA-alert-new,WA,CPA,AB Tax & Accounting Services Inc,Vancouver,Abdel,abdel.blk@ab-accounting.com,,"Accounting, bookkeeping, payroll, personal & corporate tax prep"
WA-alert-new,WA,CPA,Giesler-Tran Bookkeeping & Tax Services,Vancouver,Brian Giesler-Tran,hello@gieslertranbookkeeping.com,,"Tax return prep, tax consulting, bookkeeping, payroll"
WA-alert-new,WA,CPA,Shields Tax & CPA PLLC,Vancouver,Travis Richardson,info@shieldstaxcpa.com,,"Vancouver CPA firm, tax prep & bookkeeping"
WA-alert-new,WA,CPA,Count On That,Seattle,Jeffrey Levell,jeff@countonthat.com,,"Ballard CPA firm (Leary Way), tax + bookkeeping for small business"
WA-alert-new,WA,CPA,Metas Financial,Seattle,Carrie,carrie@metasfinancial.com,,"Greenwood/Phinney Seattle, tax prep + bookkeeping for individuals + small biz"
WA-alert-new,WA,CPA,ABC Bookkeeping & Business Support (Belfair Tax & Accounting),Belfair,,accountant@abcbkbs.com,,Small firm; tax preparation + bookkeeping for individuals & small business (also Gig Harbor)
WA-alert-new,WA,CPA,Northwest Accounting Group,Shelton,,nw@nwaccountinggroup.com,,"CPA firm; tax prep, payroll, bookkeeping for individuals & businesses"
WA-alert-new,WA,CPA,Willapa Bay Accounting LLC,Ocean Park,Lora Past,lora@willapabay.org,,"Full-charge bookkeeping, accounting & tax preparation (per Ocean Park chamber)"
WA-alert-new,WA,CPA,"R & I Tax & Bookkeeping Service, Inc.",Tacoma,Linda Y.,linda.y@ritbsinc.com,,Tax preparation and bookkeeping for individuals and businesses
WA-alert-new,WA,CPA,Encompass Financial Services,Anacortes,Todd Wiersum,info@encompass.tax,,"CPA firm; personal, business & entity tax returns, planning, bookkeeping"
WA-alert-new,WA,CPA,Precisely Right Accounting,Lacey,Cynthia Knapp EA,info@preciselyrightonline.com,,Tax prep individual/corp/trust/estate/partnership + bookkeeping/payroll
WA-alert-new,WA,CPA,SingleWide Accounting,Yelm,Kendra Gebb EA,kendra@singlewideaccounting.com,,"EA-led firm; tax preparation/filing, accounting, payroll, bookkeeping"
WA-alert-new,WA,CPA,JV Accounting,Yakima,Natalie Niemi,natalie@jvaccounting.com,,"Individual + business/nonprofit tax return filing, bookkeeping, accounting"
WA-alert-new,WA,CPA,KORE Business Solutions,Yakima,Kim Reeves,info@korebusinesssolutions.biz,,"Bookkeeping, payroll + recurring excise/payroll/WA sales tax prep"
WA-alert-new,WA,CPA,Optima Bookkeeping & Tax,Yakima,,optimabookkeepingandmore@gmail.com,,"Bookkeeping, payroll & tax prep; 30+ yrs, QuickBooks expert (does tax returns)"
