Tier,State,Type,Firm,City,Decision-maker,Contact,Fit,Notes
Shortlist (multi-state),AL,Firm,"MDA Professional Group, P.C.",Gadsden,,contact form,Business-entity,"Multi-office CPA firm (Gadsden, Anniston, Albertville, Fort Payne, Roanoke); NE Alabama tornado belt; site emails obfuscated"
OK-tier,AL,Firm,"Haisten, Shipman & Wiggins, P.C.",Troy,Henry H. Haisten III (CPA),find manually,Business-entity,"Full-service tax/accounting/business consulting; Troy, SE Alabama (Wiregrass tornado/Gulf-storm zone); no email published"
OK-tier,AL,Firm,"McClure, Sewell, Johnson & Associates, Inc.",Gadsden,Mike Sewell (CPA) & Mark A. Johnson,find manually,Business-entity,"Business income tax, payroll, audits, business startup; Gadsden (NE Alabama tornado belt); email link placeholder only"
OK-tier,AL,Firm,"Morrison & Smith, LLP",Tuscaloosa,,find manually,Business-entity,Professional tax and accounting firm; Tuscaloosa (2011 EF4 tornado disaster area); no email published (contact form)
Shortlist (multi-state),AL,Firm,Wilkins Miller LLC,Mobile,,find manually,Business-entity,"Large Mobile/Eastern-Shore CPA & advisory firm; Gulf Coast hurricane zone; only careers@ published, general email not shown"
OK-tier,AL,Firm,"Sovereign CPA Group, LLC",Hoover,,find manually,Business-entity,"Tax, accounting, audit, estate planning; Hoover (Birmingham metro); no email published (contact form/phone)"
Solo (individual),AL,Individual,Connie J. Phillips CPA,Cullman,Connie J. Phillips,find manually,Business-entity,"Solo CPA; personal/corporate tax, bookkeeping, payroll, 20+ yrs; Cullman (2011 tornado disaster county); no email published"
OK-tier,AL,Firm,"Evans & Harris, P.C.",Decatur,,find manually,Business-entity,"Local CPA firm serving individuals, families & small-business owners; Decatur (Tennessee Valley tornado belt); no email published"
Solo (individual),AL,Individual,Dianne Naler CPA PC,Alexander City,Dianne Naler,contact form,Business-entity,Solo CPA serving Alexander City + Sylacauga; Lake Martin region; contact form only
OK-tier,AL,Firm,"Talley, Mauldin & Peete, P.C.",Decatur,,find manually,Business-entity,One of the oldest Decatur CPA firms (founded 1939); tax/accounting; North Alabama (Tennessee Valley tornado belt); no email published
Solo (individual),AR,Individual,Jimmy D. Wilson CPA,Paragould,Jimmy D. Wilson,find manually,,"Paragould CPA (tax prep, planning, bookkeeping); Greene County under FEMA DR-4788 May 2024 tornadoes; only email pattern seen on aggregators, no literal address verified"
OK-tier,AR,Firm,"Thomas, Speight & Noble CPAs",Jonesboro,,find manually,Business-entity,"Jonesboro firm since 1979; tax, audit, financial statements; Craighead County under FEMA DR-4788 May 2024; only email pattern (RocketReach) seen, no literal address verified"
OK-tier,AR,Firm,"Pierce Firm, PLLC",Fayetteville,Allen Pierce,contact form,Business-entity,"Fayetteville full-service CPA firm; audit, tax prep/planning, bookkeeping, business advisory; site has web form only, no literal email; Washington County FEMA DR-4788 May 2024"
