Tier,State,Type,Firm,City,Decision-maker,Contact,Fit,Notes
WA-alert-new,WA,CPA,"FLS Tax & Accounting Service, PLLC",Kennewick,Frank Skaff,info@flstax.com,,"CPA & Enrolled Agent; tax preparation & planning, accounting/bookkeeping"
WA-alert-new,WA,CPA,"Moody, Mickelsen, Rowley & Adamson, P.S.",Kennewick,Travis Adamson,office.mail@mmracpa.com,,"Full CPA firm; tax returns, audits, reviews, tax planning for individuals/business/nonprofit"
WA-alert-new,WA,CPA,"Oswalt, Teel & Franklin",Kennewick,Dale,dale@otfcpa.com,,"Full-service tax, accounting & consulting since 1981; small business & construction"
WA-alert-new,WA,CPA,Sattler & Associates CPAs,Prosser,Keith Sattler,info@sattlerassociates.com,,"Licensed CPA firm; accounting, tax preparation, financial advisory; accepting new clients"
WA-alert-new,WA,CPA,Insight Accounting Solutions LLC,Richland,,clientoutreach@ias-cpa.com,,"CPA practice; tax preparation, planning, bookkeeping for businesses & nonprofits"
WA-alert-new,WA,CPA,Nilson & Oord PLLC,Richland,Douglas Oord,doord@tricitiescpa.com,,"CPA firm (Nilson & Oord); tax returns, accounting; partners Darci Nilson & Doug Oord"
WA-alert-new,WA,CPA,"Precision Accounting Solutions - Shanie Rowley, CPA",Richland,Shanie Rowley,shanierowleycpa@gmail.com,,"Licensed CPA; tax preparation, small-business bookkeeping & payroll (est. 2015)"
WA-alert-new,WA,CPA,Chelan Valley CPAs,Chelan,,info@chelanvalleycpas.com,,"CPA firm; tax prep & planning, accounting for business owners, execs, independent professionals"
WA-alert-new,WA,CPA,"Anderson Accounting and Tax, PLLC",Leavenworth,Charles Anderson,charles@andersonaccounting.cpa,,CPA firm; tax preparation & planning for individuals and business
WA-alert-new,WA,CPA,Evergreen Accounting,Leavenworth,Cindy,cindy@evergreenacc.com,,"Tax prep, bookkeeping & consulting; personal & business income tax"
WA-alert-new,WA,CPA,"Chuck McClure, CPA, PLLC",Wenatchee,Chuck McClure,cmcclurecpa@hotmail.com,,"CPA firm; personal & small-business tax prep, IRS resolution"
WA-alert-new,WA,CPA,Golden Apple Tax & Services LLC,Wenatchee,,info@goldenappleservices.com,,"Individual & business tax preparation, accounting, business formation"
WA-alert-new,WA,CPA,"Baker, Overby & Moore Inc PS",Port Angeles,,info@bomincps.com,,"Long-serving CPA firm; audit, tax, financial services for individuals + business"
